Overall rating,Potential,Growth,Age,Age group,Team,Position rank,Position,IMC,Foot,Value,Wage,Goalkeeping,Total stats,Body type,Acceleration type,Classement 23/24,Classement 22/23,Classement 21/22,Classement moyen,Palmares 
1.0,1.0,0.08,0.30434782608695654,0.5,0.631578947368421,0.0,1.0,0.6442307692307694,0.0,1.0,0.9535962877030162,0.03749999999999999,0.86,1.0,0.5,0.0,0.0,0.0,0.0,0.5
0.945945945945946,0.8999999999999999,0.04,0.3913043478260869,0.5,0.05263157894736842,1.0,0.2857142857142857,0.33653846153846145,0.0,1.0,0.5359628770301624,0.06250000000000001,0.9400000000000001,0.1111111111111111,0.25,0.043478260869565216,0.02,0.0975609756097561,0.053576212161800155,0.65
0.9189189189189189,0.8999999999999999,0.08,0.26086956521739135,0.0,0.05263157894736842,0.0,0.8571428571428571,0.24038461538461542,0.0,1.0,0.4663573085846867,0.03749999999999999,0.92,0.1111111111111111,1.0,0.043478260869565216,0.02,0.0975609756097561,0.053576212161800155,0.65
1.0,0.9333333333333331,0.0,0.5217391304347827,0.5,0.631578947368421,1.0,0.14285714285714285,0.4326923076923077,1.0,1.0,0.9999999999999999,0.03749999999999999,1.0,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,0.5
0.8918918918918917,0.8666666666666667,0.08,0.34782608695652173,0.5,0.631578947368421,1.0,0.0,0.5384615384615385,0.0,1.0,0.4663573085846867,0.03749999999999999,0.88,1.0,0.75,0.0,0.0,0.0,0.0,0.5
0.9729729729729728,0.8999999999999999,0.0,0.6956521739130435,1.0,0.5789473684210527,0.0,0.7857142857142857,0.528846153846154,0.0,0.949974987493747,0.5127610208816705,0.06250000000000001,0.9,1.0,1.0,0.08695652173913043,0.08,0.024390243902439025,0.06241628716849719,0.9500000000000001
0.8648648648648649,0.8666666666666667,0.12,0.26086956521739135,0.0,0.2631578947368421,1.0,0.0,0.40384615384615397,0.0,0.9449724862431217,0.3735498839907192,0.03749999999999999,0.86,0.2222222222222222,0.0,0.21739130434782608,0.22,0.04878048780487806,0.1607286364854005,0.30000000000000004
0.8918918918918917,0.8666666666666667,0.08,0.30434782608695654,0.5,0.05263157894736842,0.3333333333333333,0.07142857142857142,0.4615384615384619,1.0,0.9199599799899951,0.3735498839907192,0.012499999999999997,0.7600000000000001,0.5555555555555556,0.5,0.043478260869565216,0.02,0.0975609756097561,0.053576212161800155,0.65
0.8918918918918917,0.833333333333333,0.04,0.3913043478260869,0.5,0.05263157894736842,1.0,0.14285714285714285,0.5192307692307694,1.0,0.8499249624812407,0.41995359628770296,0.024999999999999994,0.9400000000000001,0.5555555555555556,0.5,0.043478260869565216,0.02,0.0975609756097561,0.053576212161800155,0.65
0.8648648648648649,0.833333333333333,0.08,0.3913043478260869,0.5,0.5789473684210527,1.0,0.2857142857142857,0.5000000000000002,1.0,0.8449224612306154,0.32714617169373544,0.05,0.9800000000000001,0.4444444444444444,0.25,0.08695652173913043,0.08,0.024390243902439025,0.06241628716849719,0.9500000000000001
0.9189189189189189,0.833333333333333,0.0,0.4782608695652173,0.5,0.631578947368421,0.3333333333333333,0.07142857142857142,0.5192307692307694,1.0,0.8399199599799901,0.5127610208816705,0.024999999999999994,0.7600000000000001,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,0.5
