Source,Target,Weight
Receptionist,Business tourism,0.16666666666666666
Receptionist,Ecotourism,0.16666666666666666
Human resources,Organizational culture,0.047619047619047616
Human resources,Mergers and acquisitions,0.047619047619047616
Human resources,Change management,0.047619047619047616
Human resources,Cooperative,0.047619047619047616
Human resources,Talent management,0.047619047619047616
Human resources,Workplace politics,0.047619047619047616
Human resources,Organizational effectiveness,0.047619047619047616
Human resources,International business,0.047619047619047616
Human resources,Activity-based working,0.047619047619047616
Human resources,Human resource management,0.047619047619047616
Human resources,Labour (human activity),0.047619047619047616
Human resources,Business process,0.047619047619047616
Human resources,Organizational conflict,0.047619047619047616
Human resources,Manpower,0.047619047619047616
Human resources,Performance management,0.047619047619047616
Human resources,Personnel Administration,0.047619047619047616
Human resources,Asset management,0.047619047619047616
Human resources,Company,0.047619047619047616
Human resources,Chief human resources officer,0.047619047619047616
Human resources,Employee retention,0.047619047619047616
Human resources,Sole proprietorship,0.047619047619047616
Internal audit,Social accounting,0.5
Internal audit,Corporate services,0.5
Collective bargaining,Pen-down strike,0.05555555555555555
Collective bargaining,Lockout (industry),0.05555555555555555
Collective bargaining,Featherbedding,0.05555555555555555
Collective bargaining,Community unionism,0.05555555555555555
Collective bargaining,Grievance (labour),0.05555555555555555
Collective bargaining,Social movement unionism,0.05555555555555555
Collective bargaining,Decent work,0.05555555555555555
Collective bargaining,Members-only unionism,0.05555555555555555
Collective bargaining,Union organizer,0.05555555555555555
Collective bargaining,Union busting,0.05555555555555555
Collective bargaining,Labor spying in the United States,0.05555555555555555
Collective bargaining,Company union,0.05555555555555555
Collective bargaining,Contingent work,0.05555555555555555
Collective bargaining,International labour standards,0.05555555555555555
Collective bargaining,Industrial action,0.05555555555555555
Collective bargaining,Neurodiversity and labor rights,0.05555555555555555
Collective bargaining,Social support,0.05555555555555555
Collective bargaining,Sick leave,0.05555555555555555
Oppressed,Power distance,0.1
Oppressed,Gender pay gap,0.1
Oppressed,Privilege (social inequality),0.1
Oppressed,Matrix of domination,0.1
Oppressed,Outsourcing,0.1
Oppressed,Sociology,0.1
Oppressed,Social exclusion,0.1
Oppressed,Economic oppression,0.1
Oppressed,White privilege,0.1
Oppressed,Social privilege,0.1
Problem solving,Scalability,0.25
Problem solving,Knowledge sharing,0.25
Problem solving,Teamwork,0.25
Problem solving,Problem,0.25
Politics,Third Way,0.045454545454545456
