Source,Target,Weight
0,177,0.3333333333333333
0,746,0.3333333333333333
0,766,0.3333333333333333
1,291,0.25
1,339,0.25
1,1051,0.25
1,1159,0.25
4,10,0.01818181818181818
4,23,0.01818181818181818
4,64,0.01818181818181818
4,82,0.01818181818181818
4,96,0.01818181818181818
4,101,0.01818181818181818
4,112,0.01818181818181818
4,153,0.01818181818181818
4,171,0.01818181818181818
4,206,0.01818181818181818
4,241,0.01818181818181818
4,256,0.01818181818181818
4,286,0.01818181818181818
4,287,0.01818181818181818
4,369,0.01818181818181818
4,382,0.01818181818181818
4,388,0.01818181818181818
4,422,0.01818181818181818
4,423,0.01818181818181818
4,424,0.01818181818181818
4,432,0.01818181818181818
4,454,0.01818181818181818
4,455,0.01818181818181818
4,491,0.01818181818181818
4,544,0.01818181818181818
4,567,0.01818181818181818
4,574,0.01818181818181818
4,586,0.01818181818181818
4,632,0.01818181818181818
4,636,0.01818181818181818
4,637,0.01818181818181818
4,641,0.01818181818181818
4,646,0.01818181818181818
4,651,0.01818181818181818
4,661,0.01818181818181818
4,663,0.01818181818181818
4,698,0.01818181818181818
4,768,0.01818181818181818
4,770,0.01818181818181818
4,773,0.01818181818181818
4,789,0.01818181818181818
4,812,0.01818181818181818
4,824,0.01818181818181818
4,826,0.01818181818181818
4,827,0.01818181818181818
4,851,0.01818181818181818
4,853,0.01818181818181818
4,873,0.01818181818181818
4,923,0.01818181818181818
4,1017,0.01818181818181818
4,1050,0.01818181818181818
4,1055,0.01818181818181818
4,1110,0.01818181818181818
4,1165,0.01818181818181818
4,1166,0.01818181818181818
9,173,0.25
9,177,0.25
9,723,0.25
9,1095,0.25
10,64,0.02857142857142857
10,82,0.02857142857142857
10,83,0.02857142857142857
10,96,0.02857142857142857
10,112,0.02857142857142857
10,120,0.02857142857142857
10,153,0.02857142857142857
10,171,0.02857142857142857
10,206,0.02857142857142857
10,241,0.02857142857142857
10,369,0.02857142857142857
10,423,0.02857142857142857
10,432,0.02857142857142857
10,436,0.02857142857142857
10,475,0.02857142857142857
10,641,0.02857142857142857
10,646,0.02857142857142857
10,663,0.02857142857142857
10,698,0.02857142857142857
10,738,0.02857142857142857
10,768,0.02857142857142857
10,823,0.02857142857142857
10,826,0.02857142857142857
10,851,0.02857142857142857
10,853,0.02857142857142857
10,873,0.02857142857142857
10,923,0.02857142857142857
10,924,0.02857142857142857
10,1017,0.02857142857142857
10,1050,0.02857142857142857
10,1110,0.02857142857142857
10,1124,0.02857142857142857
10,1141,0.02857142857142857
10,1165,0.02857142857142857
10,1166,0.02857142857142857
14,234,0.16666666666666666
14,327,0.16666666666666666
14,471,0.16666666666666666
14,514,0.16666666666666666
14,820,0.16666666666666666
14,1087,0.16666666666666666
18,215,0.3333333333333333
18,997,0.3333333333333333
18,1174,0.3333333333333333
23,393,0.2
23,456,0.2
23,498,0.2
23,769,0.2
23,1155,0.2
24,4,0.02127659574468085
24,10,0.02127659574468085
24,11,0.02127659574468085
24,64,0.02127659574468085
24,82,0.02127659574468085
24,96,0.02127659574468085
24,104,0.02127659574468085
24,112,0.02127659574468085
24,153,0.02127659574468085
24,171,0.02127659574468085
24,176,0.02127659574468085
24,206,0.02127659574468085
24,224,0.02127659574468085
24,241,0.02127659574468085
24,244,0.02127659574468085
24,256,0.02127659574468085
24,275,0.02127659574468085
24,348,0.02127659574468085
24,369,0.02127659574468085
24,422,0.02127659574468085
24,423,0.02127659574468085
24,432,0.02127659574468085
24,455,0.02127659574468085
24,567,0.02127659574468085
24,641,0.02127659574468085
24,646,0.02127659574468085
24,659,0.02127659574468085
24,663,0.02127659574468085
24,692,0.02127659574468085
24,698,0.02127659574468085
24,701,0.02127659574468085
24,722,0.02127659574468085
24,768,0.02127659574468085
24,826,0.02127659574468085
24,827,0.02127659574468085
24,851,0.02127659574468085
24,853,0.02127659574468085
24,866,0.02127659574468085
24,873,0.02127659574468085
24,897,0.02127659574468085
24,923,0.02127659574468085
24,1017,0.02127659574468085
24,1050,0.02127659574468085
24,1109,0.02127659574468085
24,1110,0.02127659574468085
24,1165,0.02127659574468085
24,1166,0.02127659574468085
28,10,0.041666666666666664
28,57,0.041666666666666664
28,61,0.041666666666666664
28,151,0.041666666666666664
28,241,0.041666666666666664
28,270,0.041666666666666664
28,280,0.041666666666666664
28,292,0.041666666666666664
28,507,0.041666666666666664
28,512,0.041666666666666664
28,539,0.041666666666666664
28,542,0.041666666666666664
28,543,0.041666666666666664
28,655,0.041666666666666664
28,690,0.041666666666666664
28,858,0.041666666666666664
28,886,0.041666666666666664
28,973,0.041666666666666664
28,987,0.041666666666666664
28,995,0.041666666666666664
28,1073,0.041666666666666664
28,1091,0.041666666666666664
28,1114,0.041666666666666664
28,1119,0.041666666666666664
34,39,0.07692307692307693
34,184,0.07692307692307693
34,294,0.07692307692307693
34,386,0.07692307692307693
34,387,0.07692307692307693
34,411,0.07692307692307693
34,468,0.07692307692307693
34,474,0.07692307692307693
34,739,0.07692307692307693
34,776,0.07692307692307693
34,913,0.07692307692307693
34,919,0.07692307692307693
34,1128,0.07692307692307693
36,20,0.1
36,143,0.1
36,337,0.1
36,541,0.1
36,564,0.1
36,684,0.1
36,901,0.1
36,919,0.1
36,1048,0.1
36,1159,0.1
37,83,0.25
37,276,0.25
37,565,0.25
37,1108,0.25
38,828,0.5
38,980,0.5
43,255,0.16666666666666666
43,304,0.16666666666666666
43,619,0.16666666666666666
43,687,0.16666666666666666
43,688,0.16666666666666666
43,1039,0.16666666666666666
45,175,0.5
45,554,0.5
51,571,0.3333333333333333
51,928,0.3333333333333333
51,1148,0.3333333333333333
54,633,0.25
54,729,0.25
54,788,0.25
54,997,0.25
55,217,1.0
57,4,0.022727272727272728
57,37,0.022727272727272728
57,58,0.022727272727272728
57,61,0.022727272727272728
57,137,0.022727272727272728
57,140,0.022727272727272728
57,171,0.022727272727272728
57,194,0.022727272727272728
57,208,0.022727272727272728
57,222,0.022727272727272728
57,224,0.022727272727272728
57,272,0.022727272727272728
57,286,0.022727272727272728
57,309,0.022727272727272728
57,340,0.022727272727272728
57,408,0.022727272727272728
57,422,0.022727272727272728
57,454,0.022727272727272728
57,491,0.022727272727272728
57,511,0.022727272727272728
57,519,0.022727272727272728
57,553,0.022727272727272728
57,562,0.022727272727272728
57,586,0.022727272727272728
57,593,0.022727272727272728
57,632,0.022727272727272728
57,661,0.022727272727272728
57,672,0.022727272727272728
57,747,0.022727272727272728
57,789,0.022727272727272728
57,816,0.022727272727272728
57,827,0.022727272727272728
57,833,0.022727272727272728
57,852,0.022727272727272728
57,885,0.022727272727272728
57,935,0.022727272727272728
57,967,0.022727272727272728
57,972,0.022727272727272728
57,1034,0.022727272727272728
57,1083,0.022727272727272728
57,1108,0.022727272727272728
57,1111,0.022727272727272728
57,1133,0.022727272727272728
57,1173,0.022727272727272728
58,255,0.14285714285714285
58,304,0.14285714285714285
58,619,0.14285714285714285
58,687,0.14285714285714285
58,688,0.14285714285714285
58,1017,0.14285714285714285
58,1039,0.14285714285714285
59,15,0.25
59,25,0.25
59,88,0.25
59,160,0.25
60,1107,1.0
61,4,0.03225806451612903
61,10,0.03225806451612903
61,24,0.03225806451612903
61,113,0.03225806451612903
61,171,0.03225806451612903
61,176,0.03225806451612903
61,206,0.03225806451612903
61,224,0.03225806451612903
61,241,0.03225806451612903
61,244,0.03225806451612903
